antecedents,consequents,antecedent support,support,confidence,lift
CREME DENTAL TRIPLA ACAO 6X90G COLG,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,0.026622837120254306,0.0036484485063035077,0.13704206241519676,1.7707049772881642
MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,CREME DENTAL TRIPLA ACAO 6X90G COLG,0.07739406856193332,0.0036484485063035077,0.0471411901983664,1.7707049772881642
ACUC REF UNIAO 1KG,OLEO SOJA LIZA PET 900ML,0.031011812303579814,0.0036484485063035077,0.11764705882352942,4.593545175474986
OLEO SOJA LIZA PET 900ML,ACUC REF UNIAO 1KG,0.02561138604919987,0.0036484485063035077,0.14245416078984485,4.593545175474985
LEITE FERMENTADO YAKULT 6X80G,REQUEIJAO TRADIC CATUPIRY 500G,0.0418126648123397,0.0036484485063035077,0.08725701943844492,2.079669452530754
REQUEIJAO TRADIC CATUPIRY 500G,LEITE FERMENTADO YAKULT 6X80G,0.041957157822490335,0.0036484485063035077,0.08695652173913045,2.079669452530754
LEITE CONDENSADO TP 395G PIRACANJ,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.018693783188238267,0.003630386880034678,0.19420289855072465,1.8336012416711154
PAPEL TOALHA KITCHEN JUMB FD C360FL,LEITE CONDENSADO TP 395G PIRACANJ,0.1059133764404147,0.003630386880034678,0.03427694406548431,1.8336012416711154
PH NEVE FT 20M L32P28UN,FILE PEITO FRANGO SADIA 1KG ZIP IQF,0.06969981577141206,0.003612325253765849,0.051826898160145116,1.1769680244194398
FILE PEITO FRANGO SADIA 1KG ZIP IQF,PH NEVE FT 20M L32P28UN,0.0440342448434057,0.003612325253765849,0.08203445447087777,1.17696802441944
PH PERSONAL VIP FD 40 ROLOSX30M,SACOLA PLASTICA MM CINZA,0.06617779864899036,0.003612325253765849,0.05458515283842794,1.0138079745227782
SACOLA PLASTICA MM CINZA,PH PERSONAL VIP FD 40 ROLOSX30M,0.05384170790737998,0.003612325253765849,0.06709158000670916,1.0138079745227782
BISNAGUINHAS 300G PANCO,LEITE FERMENTADO YAKULT 6X80G,0.027688473070115235,0.003612325253765849,0.1304631441617743,3.1201824793351167
LEITE FERMENTADO YAKULT 6X80G,BISNAGUINHAS 300G PANCO,0.0418126648123397,0.003612325253765849,0.08639308855291576,3.1201824793351167
MANTEIGA TABLETE C/SAL 200G,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.02172813640140158,0.003612325253765849,0.1662510390689942,1.5696887839518985
PAPEL TOALHA KITCHEN JUMB FD C360FL,MANTEIGA TABLETE C/SAL 200G,0.1059133764404147,0.003612325253765849,0.034106412005457026,1.5696887839518985
BISC CH PETIT BEURRE GRIESSON 150G,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,0.03863381858902576,0.00359426362749702,0.0930341280972417,1.2020834390272774
MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,BISC CH PETIT BEURRE GRIESSON 150G,0.07739406856193332,0.00359426362749702,0.046441073512252046,1.2020834390272774
PH PERSONAL VIP FD 40 ROLOSX30M,MON BIJOU PUREZA 5LT AMAC DILUIDO,0.06617779864899036,0.0035762020012281904,0.05403930131004366,2.491207290867508
MON BIJOU PUREZA 5LT AMAC DILUIDO,PH PERSONAL VIP FD 40 ROLOSX30M,0.021692013148863924,0.0035762020012281904,0.16486261448792672,2.4912072908675085
PH PERSONAL VIP FD 40 ROLOSX30M,LEITE FERMENTADO YAKULT 6X80G,0.06617779864899036,0.0035762020012281904,0.05403930131004366,1.2924146679619342
LEITE FERMENTADO YAKULT 6X80G,PH PERSONAL VIP FD 40 ROLOSX30M,0.0418126648123397,0.0035762020012281904,0.08552915766738661,1.2924146679619342
REQUEIJAO LIGHT CATUPIRY 500G,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.019777480764368024,0.0035581403749593613,0.17990867579908676,1.698639792682851
PAPEL TOALHA KITCHEN JUMB FD C360FL,REQUEIJAO LIGHT CATUPIRY 500G,0.1059133764404147,0.0035581403749593613,0.03359481582537517,1.698639792682851
PAO ITALIANO MEMBERS MARK,PAO FRANCES MEMBERS MARK,0.03146335296030055,0.0035581403749593613,0.11308840413318025,1.638213653385049
PAO FRANCES MEMBERS MARK,PAO ITALIANO MEMBERS MARK,0.06903153559946537,0.0035581403749593613,0.05154369440083726,1.638213653385049
PH PERSONAL VIP FD 40 ROLOSX30M,QBOA 5LT AGUA SANITARIA,0.06617779864899036,0.0035581403749593613,0.05376637554585153,2.2483603840420057
QBOA 5LT AGUA SANITARIA,PH PERSONAL VIP FD 40 ROLOSX30M,0.023913593179929922,0.0035581403749593613,0.14879154078549847,2.2483603840420057
BATATA ESPECIAL KG KG,LIMAO TAITI KG,0.016418018278365785,0.0035581403749593613,0.21672167216721672,12.243889899194002
LIMAO TAITI KG,BATATA ESPECIAL KG KG,0.01770039374345266,0.0035581403749593613,0.20102040816326533,12.243889899194002
ACUC REF UNIAO 1KG,REQUEIJAO TRADIC CATUPIRY 500G,0.031011812303579814,0.003540078748690532,0.11415259172976122,2.7206940997460007
REQUEIJAO TRADIC CATUPIRY 500G,ACUC REF UNIAO 1KG,0.041957157822490335,0.003540078748690532,0.08437365475678003,2.7206940997460007
LIMPOL 6X500ML DETERG LIQ NATURAL,REQUEIJAO TRADIC CATUPIRY 500G,0.044883141278040675,0.003540078748690532,0.07887323943661972,1.879851818617257
REQUEIJAO TRADIC CATUPIRY 500G,LIMPOL 6X500ML DETERG LIQ NATURAL,0.041957157822490335,0.003540078748690532,0.08437365475678003,1.8798518186172568
PH NEVE FT 20M L32P28UN,SAL REF CISNE 1KG,0.06969981577141206,0.0035220171224217027,0.050531225706141485,2.2544011623257285
SAL REF CISNE 1KG,PH NEVE FT 20M L32P28UN,0.022414478199617095,0.0035220171224217027,0.1571313456889605,2.254401162325729
MANTEIGA COM SAL MEMBERS MARK 500G,PH NEVE FT 20M L32P28UN,0.04370913557056677,0.0035220171224217027,0.08057851239669421,1.1560792737381114
PH NEVE FT 20M L32P28UN,MANTEIGA COM SAL MEMBERS MARK 500G,0.06969981577141206,0.0035220171224217027,0.050531225706141485,1.1560792737381114
ACUC REF UNIAO 1KG,CR DE LEITE PIRACANJUBA TP 200G,0.031011812303579814,0.0035220171224217027,0.11357018054746651,3.611675253412424
CR DE LEITE PIRACANJUBA TP 200G,ACUC REF UNIAO 1KG,0.03144529133403172,0.0035220171224217027,0.11200459506031014,3.611675253412424
OMO LAVA ROUPAS LAVAG PERFEITA 5LT,SACOLA PLASTICA MM CINZA,0.05479897409962793,0.0035220171224217027,0.06427158866183257,1.1937137798896418
SACOLA PLASTICA MM CINZA,OMO LAVA ROUPAS LAVAG PERFEITA 5LT,0.05384170790737998,0.0035220171224217027,0.06541429050654143,1.1937137798896418
MARGARINA QUALY COM SAL 500G,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.01959686450167973,0.0035220171224217027,0.17972350230414746,1.6968914441629313
PAPEL TOALHA KITCHEN JUMB FD C360FL,MARGARINA QUALY COM SAL 500G,0.1059133764404147,0.0035220171224217027,0.0332537517053206,1.696891444162931
PH PERSONAL VIP FD 40 ROLOSX30M,FILTRO DE PAPEL120UN MM TAM 103,0.06617779864899036,0.0035220171224217027,0.05322052401746724,2.073615434729832
FILTRO DE PAPEL120UN MM TAM 103,PH PERSONAL VIP FD 40 ROLOSX30M,0.025665570928006358,0.0035220171224217027,0.13722730471498942,2.073615434729832
OMO LAVA ROUPAS EM PO 5.6KG,PH PERSONAL VIP FD 40 ROLOSX30M,0.02275764909872485,0.0035220171224217027,0.15476190476190477,2.3385774069453107
PH PERSONAL VIP FD 40 ROLOSX30M,OMO LAVA ROUPAS EM PO 5.6KG,0.06617779864899036,0.0035220171224217027,0.05322052401746724,2.3385774069453107
OMO LAVA ROUPAS LAVAG PERFEITA 5LT,LEITE FERMENTADO YAKULT 6X80G,0.05479897409962793,0.0035220171224217027,0.06427158866183257,1.5371320854648043
LEITE FERMENTADO YAKULT 6X80G,OMO LAVA ROUPAS LAVAG PERFEITA 5LT,0.0418126648123397,0.0035220171224217027,0.08423326133909287,1.537132085464804
WAFFLE TRAD 525G FORNO DE MINAS,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.027959397464147672,0.0035039554961528736,0.12532299741602068,1.1832593920421899
PAPEL TOALHA KITCHEN JUMB FD C360FL,WAFFLE TRAD 525G FORNO DE MINAS,0.1059133764404147,0.0035039554961528736,0.033083219645293316,1.1832593920421897
MACA LOONEY TUN MACA RASIP 1.5 KG,BANANA PRATA KG,0.019018892461077196,0.0034858938698840445,0.18328584995251662,2.8180517546434425
BANANA PRATA KG,MACA LOONEY TUN MACA RASIP 1.5 KG,0.06503991619405411,0.0034858938698840445,0.053596223271313526,2.818051754643442
MANTEIGA COM SAL MEMBERS MARK 500G,BANANA PRATA KG,0.04370913557056677,0.0034858938698840445,0.07975206611570249,1.2262018585287375
BANANA PRATA KG,MANTEIGA COM SAL MEMBERS MARK 500G,0.06503991619405411,0.0034858938698840445,0.053596223271313526,1.2262018585287375
QJ MUSS INTERFOLHADA KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.029964237979987717,0.0034858938698840445,0.11633514165159735,1.0983989516852557
PAPEL TOALHA KITCHEN JUMB FD C360FL,QJ MUSS INTERFOLHADA KG,0.1059133764404147,0.0034858938698840445,0.03291268758526603,1.0983989516852557
BANANA NANICA KG,SACOLA PLASTICA MM CINZA,0.038019723295885564,0.003449770617346386,0.09073634204275534,1.6852426412409232
SACOLA PLASTICA MM CINZA,BANANA NANICA KG,0.05384170790737998,0.003449770617346386,0.06407245890640724,1.685242641240923
CENOURA KG,MAMAO PAPAYA KG,0.036394176931690926,0.003449770617346386,0.09478908188585608,4.4702660201808415
MAMAO PAPAYA KG,CENOURA KG,0.021204349239605534,0.003449770617346386,0.16269165247018738,4.4702660201808415
BISC CH PETIT BEURRE GRIESSON 150G,PH NEVE FT 20M L32P28UN,0.03863381858902576,0.003413647364808727,0.08835904628330994,1.2677084624311319
PH NEVE FT 20M L32P28UN,BISC CH PETIT BEURRE GRIESSON 150G,0.06969981577141206,0.003413647364808727,0.04897641876133713,1.267708462431132
OMO LAVA ROUPAS EM PO 5.6KG,LIMPOL 6X500ML DETERG LIQ NATURAL,0.02275764909872485,0.003395585738539898,0.1492063492063492,3.3243294688767526
LIMPOL 6X500ML DETERG LIQ NATURAL,OMO LAVA ROUPAS EM PO 5.6KG,0.044883141278040675,0.003395585738539898,0.07565392354124749,3.3243294688767526
SUCO NATURAL ONE LARANJA 2L,SUCO NATURAL ONE UVA/MACA 2L,0.021637828270057436,0.003395585738539898,0.15692821368948245,8.543252191870094
SUCO NATURAL ONE UVA/MACA 2L,SUCO NATURAL ONE LARANJA 2L,0.01836867391539934,0.003395585738539898,0.1848574237954769,8.543252191870096
CR DE LEITE PIRACANJUBA TP 200G,REQUEIJAO TRADIC CATUPIRY 500G,0.03144529133403172,0.003395585738539898,0.1079839172889144,2.5736709275152974
REQUEIJAO TRADIC CATUPIRY 500G,CR DE LEITE PIRACANJUBA TP 200G,0.041957157822490335,0.003395585738539898,0.08092983211364616,2.5736709275152974
SACOLA PLASTICA MM VERDE,PAO FRANCES MEMBERS MARK,0.047664631723440376,0.003377524112271069,0.07086017430845018,1.0264899033913273
PAO FRANCES MEMBERS MARK,SACOLA PLASTICA MM VERDE,0.06903153559946537,0.003377524112271069,0.0489272632129775,1.0264899033913273
